Wall time,Step,Value
1638095660.2641196,50000,-0.9829850792884827
1638095720.1471522,100000,-0.9931602478027344
1638095781.9859667,150000,-0.9955115914344788
1638095841.8935976,200000,-0.9947149157524109
1638095906.9557455,250000,-0.9750462174415588
1638095972.7957807,300000,-0.9854141473770142
1638096035.9254646,350000,-0.9914258718490601
1638096095.9910457,400000,-0.9906758666038513
1638096157.2277405,450000,-0.9828572273254395
1638096217.9758387,500000,-0.9683616161346436
1638096278.7582307,550000,-0.9996411800384521
1638096339.4930217,600000,-0.9996209144592285
1638096400.9080074,650000,-0.9657031893730164
1638096461.0563967,700000,-0.9943946003913879
1638096521.3517892,750000,-0.9888423681259155
1638096582.9902666,800000,-0.9371577501296997
1638096643.5932012,850000,-0.9982783198356628
1638096705.1440532,900000,-0.9858516454696655
1638096765.4801655,950000,-0.998567521572113
1638096827.433459,1000000,-0.9803065061569214
1638096888.374313,1050000,-0.9865424036979675
1638096948.6208282,1100000,-0.9796524047851562
1638097010.0474222,1150000,-0.9870792627334595
1638097070.986156,1200000,-0.9744683504104614
1638097133.112818,1250000,-0.9582728147506714
1638097196.490193,1300000,-0.9665784239768982
1638097260.622727,1350000,-0.9830794334411621
1638097327.1209655,1400000,-0.9382577538490295
1638097390.6222584,1450000,-0.9638047814369202
1638097451.8328836,1500000,-0.9768962264060974
1638097515.5988417,1550000,-0.9400709867477417
1638097580.095002,1600000,-0.9275508522987366
1638097642.8461199,1650000,-0.9681364297866821
1638097711.2747061,1700000,-0.8675270676612854
1638097776.7656162,1750000,-0.9493144750595093
1638097847.013981,1800000,-0.8604276180267334
1638097913.9300892,1850000,-0.9200111031532288
1638097976.3294616,1900000,-0.9716151356697083
1638098044.2095923,1950000,-0.8535906672477722
1638098109.5238523,2000000,-0.9102610945701599
1638098176.2296088,2050000,-0.9161000847816467
1638098254.216498,2100000,-0.8796945214271545
1638098333.6066475,2150000,-0.8499965667724609
1638098414.072155,2200000,-0.9127929210662842
1638098501.3287146,2250000,-0.8134448528289795
1638098589.8112943,2300000,-0.8385066986083984
1638098678.0195353,2350000,-0.8615798950195312
1638098768.2195356,2400000,-0.839013397693634
1638098850.3983498,2450000,-0.8943043947219849
1638098975.53467,2500000,-0.7768532037734985
1638099093.4599192,2550000,-0.7819476127624512
1638099214.0049365,2600000,-0.7618734836578369
1638099346.2394733,2650000,-0.7427530884742737
1638099447.1408403,2700000,-0.8285642266273499
1638099559.333809,2750000,-0.8191444277763367
1638099672.2795632,2800000,-0.8715625405311584
1638099802.3910546,2850000,-0.7886524796485901
1638099920.5941885,2900000,-0.8981679081916809
1638100057.755101,2950000,-0.7980688214302063
1638100201.9441311,3000000,-0.7861539125442505
1638100375.8720355,3050000,-0.7229683995246887
1638100522.0056863,3100000,-0.8045372366905212
1638100675.2286642,3150000,-0.7987152338027954
1638100792.756084,3200000,-0.8854855895042419
1638101002.0939133,3250000,-0.6827989816665649
1638101186.5951953,3300000,-0.763390302658081
1638101387.5205157,3350000,-0.7715062499046326
1638101644.6594532,3400000,-0.6406667232513428
1638101962.2142258,3450000,-0.6260541677474976
1638102334.2845817,3500000,-0.5916215777397156
1638102659.9600449,3550000,-0.6266467571258545
1638103087.789204,3600000,-0.5600680112838745
1638103428.55274,3650000,-0.6449184417724609
1638103788.3397043,3700000,-0.6601479053497314
1638104158.340651,3750000,-0.6951211094856262
1638104584.9365292,3800000,-0.6082978844642639
1638105071.6598341,3850000,-0.6151793003082275
1638105534.998346,3900000,-0.6198100447654724
1638105961.6722536,3950000,-0.6607011556625366
1638106565.004479,4000000,-0.6124622821807861
1638107176.1523252,4050000,-0.5874879956245422
1638107548.0771701,4100000,-0.7831000685691833
1638108080.3253217,4150000,-0.6351350545883179
1638108634.0708234,4200000,-0.5805432796478271
1638109103.2301412,4250000,-0.6732661724090576
1638109702.101117,4300000,-0.6273189187049866
1638151381.3805058,4350000,-0.3710000216960907
1638151455.4922526,4400000,-0.6345799565315247
1638151557.3602152,4450000,-0.5434032082557678
1638151669.1891656,4500000,-0.6611263751983643
1638203278.7955275,4550000,-0.5239044427871704
1638203359.1223938,4600000,-0.604022741317749
1638203455.8126986,4650000,-0.62046879529953
1638203575.2516243,4700000,-0.5562238693237305
1638203714.3450444,4750000,-0.5891298651695251
1638203889.9964445,4800000,-0.5152222514152527
1638236547.0140705,4850000,-0.44145864248275757
1638236742.5799725,4900000,-0.3835736811161041
1638236808.2310846,4950000,-0.4786189794540405
1638236870.83718,5000000,-0.6031559705734253
1638236933.839733,5050000,-0.6357879042625427
1638236997.679677,5100000,-0.7006361484527588
1638237060.410343,5150000,-0.6561942100524902
1638237123.701373,5200000,-0.5847308039665222
1638237187.440414,5250000,-0.5567198395729065
1638237250.8974495,5300000,-0.4680897295475006
1638237315.0094137,5350000,-0.5524500608444214
1638237377.6157725,5400000,-0.610965371131897
1638237441.4777708,5450000,-0.6134877800941467
1638237504.9548128,5500000,-0.6331881880760193
1638237568.2998488,5550000,-0.5997694730758667
1638237631.4884436,5600000,-0.6639787554740906
1638237695.5454822,5650000,-0.5978939533233643
1638237758.8464434,5700000,-0.6494075655937195
1638237822.539967,5750000,-0.6020218729972839
1638237887.3837545,5800000,-0.6535995602607727
1638237950.8536315,5850000,-0.6141921281814575
1638238016.2386034,5900000,-0.5890216827392578
1638238080.1783104,5950000,-0.5811157822608948
1638238144.5354161,6000000,-0.5100533366203308
1638238208.7043328,6050000,-0.45914149284362793
1638238274.2452471,6100000,-0.5493593811988831
1638238337.7811654,6150000,-0.5337585806846619
1638238402.7186234,6200000,-0.5331313610076904
1638238465.2335424,6250000,-0.6588389277458191
1638238528.7753341,6300000,-0.6722577810287476
1638238593.0718238,6350000,-0.5397261381149292
1638238657.1107123,6400000,-0.5038934350013733
1638238722.1145759,6450000,-0.4680996239185333
1638238785.808918,6500000,-0.5048191547393799
1638238850.7433283,6550000,-0.4745604991912842
1638238914.7664962,6600000,-0.513706624507904
1638238979.5485196,6650000,-0.5672428011894226
1638239042.601852,6700000,-0.6015772819519043
1638239104.7437956,6750000,-0.5966202020645142
1638239168.7127383,6800000,-0.5109464526176453
1638239232.431711,6850000,-0.43565627932548523
1638239295.4606233,6900000,-0.634600043296814
1638239359.0575972,6950000,-0.6608995199203491
1638239422.1325095,7000000,-0.5989928841590881
1638239486.0675344,7050000,-0.6151054501533508
1638239548.9947684,7100000,-0.5941845178604126
1638239611.87559,7150000,-0.5225771069526672
1638239676.2618785,7200000,-0.5274643301963806
1638239739.4338772,7250000,-0.5650208592414856
1638239803.101789,7300000,-0.5846633911132812
1638239866.4297357,7350000,-0.5929458141326904
1638239931.424765,7400000,-0.5573815107345581
1638239994.9307215,7450000,-0.4657824635505676
1638240057.83771,7500000,-0.6073495745658875
1638240121.7275374,7550000,-0.5565928816795349
1638240185.3807676,7600000,-0.6345505714416504
