Wall time,Step,Value
1638153278.6512725,50000,-0.964341402053833
1638153383.9793684,100000,-0.9625221490859985
1638153491.5396461,150000,-0.9796731472015381
1638153582.377581,200000,-0.9214925765991211
1638153673.0231097,250000,-0.9891133308410645
1638153762.3480394,300000,-0.9355152249336243
1638153854.2970197,350000,-0.9389773607254028
1638153948.060911,400000,-0.948265016078949
1638154039.5360174,450000,-0.9314770102500916
1638154134.5906804,500000,-0.9043835997581482
1638154229.7710989,550000,-0.7977007627487183
1638154325.5392013,600000,-0.8717201948165894
1638154418.4555705,650000,-0.95182204246521
1638154516.800709,700000,-0.8346831798553467
1638154615.6555321,750000,-0.6017597913742065
1638154713.7439783,800000,-0.8298077583312988
1638154811.8365514,850000,-0.8409375548362732
1638154904.1860409,900000,-0.8938134908676147
1638154999.1247585,950000,-0.8974844217300415
1638155093.5659335,1000000,-0.8173640370368958
1638155189.428251,1050000,-0.7892574071884155
1638155280.958622,1100000,-0.7542948126792908
1638155377.406279,1150000,-0.748780369758606
1638155473.1383972,1200000,-0.5969132781028748
1638155573.616399,1250000,-0.6183480620384216
1638155674.6420352,1300000,-0.6810660362243652
1638155774.8446834,1350000,-0.7815523147583008
1638155876.9454856,1400000,-0.6089028120040894
1638155980.7278643,1450000,-0.7172882556915283
1638156077.391566,1500000,-0.5211910605430603
1638156177.4053788,1550000,-0.5788288116455078
1638156279.8946195,1600000,-0.6451987028121948
1638156381.7302365,1650000,-0.5070925354957581
1638156482.8485248,1700000,-0.6568310260772705
1638156584.0480137,1750000,-0.7549418210983276
1638156694.3570063,1800000,-0.5418288111686707
1638156802.8735318,1850000,-0.7211723327636719
1638156905.7346628,1900000,-0.7184225916862488
1638157004.6267614,1950000,-0.8091493248939514
1638157098.9749284,2000000,-0.5231703519821167
1638157202.1818943,2050000,-0.806869626045227
1638157306.7308261,2100000,-0.559945285320282
1638157413.4033558,2150000,-0.631319522857666
1638157515.131103,2200000,-0.6870642304420471
1638157620.4362133,2250000,-0.7364441156387329
1638157732.2995381,2300000,-0.6964507699012756
1638157834.14,2350000,-0.6201367378234863
1638157930.9154418,2400000,-0.5625577569007874
1638158031.1284316,2450000,-0.6529014706611633
1638158137.9341707,2500000,-0.7349366545677185
1638158247.2224855,2550000,-0.7750915884971619
1638158360.0369036,2600000,-0.7575900554656982
1638158466.6614,2650000,-0.6149892210960388
1638158596.0309267,2700000,-0.6423446536064148
1638158712.3450136,2750000,-0.8181377649307251
1638158829.3546684,2800000,-0.7470993399620056
1638158933.0590644,2850000,-0.7904472351074219
1638159033.1833792,2900000,-0.5120798945426941
1638159143.3993893,2950000,-0.6530250906944275
1638159259.8954844,3000000,-0.5710925459861755
1638159382.3076954,3050000,-0.584739625453949
1638159503.0427828,3100000,-0.6024968028068542
1638159608.8687565,3150000,-0.6727101802825928
1638159723.8871047,3200000,-0.5980179309844971
1638159841.070625,3250000,-0.6392945647239685
1638159946.476133,3300000,-0.5680695176124573
1638160054.480277,3350000,-0.702541708946228
1638160160.3437107,3400000,-0.34209802746772766
1638160274.0030093,3450000,-0.5935986638069153
1638160373.6945155,3500000,-0.5874167084693909
1638160473.7485447,3550000,-0.47900721430778503
1638160578.3310447,3600000,-0.4237709045410156
1638160674.972422,3650000,-0.41240498423576355
1638160784.8101928,3700000,-0.44670552015304565
1638160893.133879,3750000,-0.6023275256156921
1638160992.4278224,3800000,-0.6804648637771606
1638161098.7047968,3850000,-0.8356754183769226
1638161198.8528585,3900000,-0.7616846561431885
1638161316.2655675,3950000,-0.7480446100234985
1638161426.1285636,4000000,-0.4115685522556305
1638161528.3126264,4050000,-0.5479710698127747
1638161629.3351145,4100000,-0.4549714922904968
1638161731.435585,4150000,-0.5579723119735718
1638161838.433187,4200000,-0.5490881204605103
1638161947.821196,4250000,-0.6479348540306091
1638162055.7612338,4300000,-0.43278005719184875
1638162176.9614296,4350000,-0.4484715759754181
1638162277.2530637,4400000,-0.5567132830619812
1638162382.4266145,4450000,-0.5783403515815735
1638162520.6582003,4500000,-0.7557600736618042
1638162622.9438357,4550000,-0.6698493361473083
1638162729.7498593,4600000,-0.6667464375495911
1638162845.3903716,4650000,-0.7004236578941345
1638162953.180374,4700000,-0.2769486904144287
1638163049.574053,4750000,-0.4878627359867096
1638163181.1102612,4800000,-0.6584120392799377
1638163303.1275892,4850000,-0.5886736512184143
1638163429.734526,4900000,-0.6968358755111694
1638163545.5672164,4950000,-0.6521130800247192
1638163662.9287705,5000000,-0.4294692277908325
1638163775.0512197,5050000,-0.7640106081962585
1638163899.2764924,5100000,-0.43839091062545776
1638164017.3368669,5150000,-0.5835464596748352
1638164133.4891272,5200000,-0.7090870141983032
